top,capital_inicial,capital_final,rentabilidad_acumulada,dias_positivos,mejor_dia,peor_dia
5,100,312.18854820285947,212.18854820285947,94.28571428571428,5.230871553331605,-2.505097050758625
10,100,267.36989243898444,167.36989243898444,94.28571428571428,4.1148612058637,-2.3237021629695005
20,100,228.80596326695684,128.80596326695684,94.28571428571428,3.377662427385219,-2.5298867109069674
