fecha,player_id,nickname,penalizacion_v2,memoria_apariciones,memoria_rent_7d,memoria_acierto_7d,memoria_fallos_consecutivos,memoria_deterioro,penalizacion_v3,diferencia_v2_menos_v3
2026-08-09 00:00:00+02:00,2604,Carreira,18.853845007630046,5,-3.3905307809693,20.0,4,0.0,9.290486015863092,9.563358991766954
2026-08-09 00:00:00+02:00,2587,Josan,22.592308211777418,8,-3.8343203258114116,0.0,8,1.7531687653243568,16.503509537464158,6.08879867431326
2026-08-09 00:00:00+02:00,2383,Pathé I. Ciss,9.7,4,0.7466720502294308,50.0,2,0.0,4.416666666666666,5.283333333333333
2026-08-09 00:00:00+02:00,3076,Yeremay,5.070716802859047,8,17.587346501060814,100.0,0,11.882867211436189,0.0,5.070716802859047
2026-08-09 00:00:00+02:00,230,Courtois,4.997239780141819,8,11.447883267897438,100.0,0,11.588959120567278,0.0,4.997239780141819
2026-08-09 00:00:00+02:00,3106,Cucurella,4.875493049403792,6,17.82122387231512,100.0,0,13.90197219761517,0.0,4.875493049403792
2026-08-09 00:00:00+02:00,3065,Laporte,4.507046861639218,8,18.035273772144723,100.0,0,9.628187446556872,0.0,4.507046861639218
2026-08-09 00:00:00+02:00,274,Remiro,4.059411402825408,8,16.512590679992385,100.0,0,7.83764561130163,0.0,4.059411402825408
2026-08-09 00:00:00+02:00,2443,Aramburu,4.021937554837773,8,17.712833911041116,100.0,0,7.687750219351095,0.0,4.021937554837773
2026-08-09 00:00:00+02:00,2700,Etta Eyong,3.9755803066735007,8,19.85750055941206,100.0,0,7.502321226694004,0.0,3.9755803066735007
2026-08-09 00:00:00+02:00,2507,Dmitrovic,3.8204262017081825,8,15.469114897430153,100.0,0,6.881704806832731,0.0,3.8204262017081825
2026-08-09 00:00:00+02:00,2541,Á. Valles,3.8203340346204957,8,25.700347747908374,100.0,0,6.881336138481984,0.0,3.8203340346204957
2026-08-09 00:00:00+02:00,644,Sergio Herrera,3.7382335536899634,8,15.74905758366061,100.0,0,6.552934214759855,0.0,3.7382335536899634
2026-08-09 00:00:00+02:00,3072,Larrubia,3.551453384531367,8,20.700135340538065,100.0,0,5.80581353812547,0.0,3.551453384531367
2026-08-09 00:00:00+02:00,2467,Júnior R.,3.5504687949742135,8,12.935741313309926,100.0,0,5.8018751798968555,0.0,3.5504687949742135
2026-08-09 00:00:00+02:00,1775,Pau Cubarsí,3.546031859760142,8,16.770097515166018,100.0,0,5.784127439040569,0.0,3.546031859760142
2026-08-09 00:00:00+02:00,988,Sivera,3.3855609726902767,7,16.14868816876009,100.0,0,6.542243890761107,0.0,3.3855609726902767
2026-08-09 00:00:00+02:00,3070,Chupe,3.3729468482231635,8,21.233542651927912,100.0,0,5.091787392892655,0.0,3.3729468482231635
2026-08-09 00:00:00+02:00,1070,De Galarreta,19.607142857142858,7,6.102644080146836,42.857142857142854,4,20.9964191634719,16.25,3.3571428571428577
2026-08-09 00:00:00+02:00,1210,Giuliano,3.30185043476663,8,15.230280163720074,100.0,0,4.807401739066522,0.0,3.30185043476663
