top,dias,media,mediana,media_sin_extremos,acierto,peor,mejor,observaciones
5,1,3.3096531491047654,3.4239771720868966,3.374177681626238,92.94117647058823,-2.9577359431492334,9.48975253119043,170
5,3,9.472274708510154,9.968761761267972,9.683553298812237,91.76470588235294,-8.313778187082978,26.458571172710403,170
5,7,20.45889163414629,21.688228965904457,21.035007572958065,88.23529411764706,-17.02946997436431,46.842571804500835,170
10,1,2.8168178372190202,2.982666642819344,2.8830991003552935,90.29411764705883,-3.457375670009429,9.884919320025654,340
10,3,8.087781650394412,8.891679282191081,8.313637174685686,89.41176470588236,-9.178226368423124,26.458571172710403,340
10,7,17.57635002782585,19.731002488144014,18.075747019528638,86.47058823529412,-17.699306791471102,46.842571804500835,340
20,1,2.3128552461926035,2.5771751327557357,2.387752110756905,87.94117647058823,-3.457375670009429,9.884919320025654,680
20,3,6.712352773346736,7.574961014225382,6.8802526505203225,86.76470588235294,-9.178226368423124,26.458571172710403,680
20,7,14.332888144744334,16.84110268085832,14.64850556798268,83.97058823529412,-18.88987014979421,50.14191478944101,680
