player_id,nickname,apariciones,rentabilidad_1d,rentabilidad_3d,rentabilidad_7d,acierto_7d,peor_7d,penalizacion_recomendada
2529,Rubén S.,5,-2.247010864599013,-7.458250227316784,-15.850561087571105,0.0,-17.02946997436431,17.925280543785554
2568,Youssef,5,-2.186919039833134,-7.2888613533777065,-14.060416243450913,0.0,-14.793436453692689,17.030208121725458
2653,Manuel Fernández,5,-1.782840413492655,-5.832772820164093,-11.758037425452573,0.0,-13.116403557125874,15.879018712726285
2717,R. Mendoza,5,-1.318793047993095,-4.171471193185796,-10.970412633673087,0.0,-12.294297410259363,15.485206316836543
2601,Martim Neto,5,-0.8913704822655089,-3.431889681610213,-10.537277737204011,0.0,-13.70662098710674,15.268638868602006
2294,R.P. Bigas,5,0.31088661890122904,-0.7950997161163633,-6.6026534849417065,0.0,-9.960860378855532,13.301326742470852
2549,Navarro,5,-0.9923873851006139,-3.0796418490431727,-6.320961593842658,20.0,-12.450310574006453,11.160480796921329
2912,Julio Díaz,5,-0.7455955613908454,-3.123782101912107,-4.215289509158152,40.0,-12.700121035402855,8.107644754579077
1219,Agirrezabala,5,-3.441140014554899,-3.441140014554899,-3.441140014554899,0.0,-3.441140014554899,11.72057000727745
2604,Carreira,5,1.197333776385144,1.28342205496222,-3.3905307809693,20.0,-8.649048092462355,9.69526539048465
2587,Josan,5,-2.9577359431492334,-2.9577359431492334,-2.9577359431492334,0.0,-2.9577359431492334,11.478867971574617
