fecha,player_id,nickname,positionId,precio,var_7d,var_3d,var_1d,score_base,rentabilidad_1d,rentabilidad_3d,rentabilidad_7d,penalizacion_adaptativa,memoria_apariciones,memoria_rent_7d,memoria_acierto_7d,memoria_fallos_consecutivos,memoria_deterioro,score,grupo_score
2026-07-06 00:00:00+02:00,67,Marcos Llorente,2,50193171,0.38634199999999996,0.33868313228582686,0.12346384074756366,1.6502642473616596,-0.005166041412286942,1.008507711138633,8.846209377765753,0.0,0,0.0,100.0,0,0.0,1.6502642473616596,<20
2026-07-06 00:00:00+02:00,68,Unai Simón,1,20077267,0.38633500000000004,0.33867914434039553,0.12346085352905944,4.800388460196249,-0.005165045621000109,2.8452876579267485,19.60726029095494,0.0,0,0.0,100.0,0,0.0,4.800388460196249,<20
2026-07-06 00:00:00+02:00,74,Yuri,2,18047259,0.26255,0.2149534646017289,0.0,4.038817115170991,-3.9263303086634926,-3.9263303086634926,-3.9263303086634926,0.0,0,0.0,100.0,0,0.0,4.038817115170991,<20
2026-07-06 00:00:00+02:00,77,Yeray,2,4913675,-3.6534313725490195,-3.699164827997371,0.0,6.446845290151126,-3.534666008639155,-3.534666008639155,-3.534666008639155,0.0,0,0.0,100.0,0,0.0,6.446845290151126,<20
2026-07-06 00:00:00+02:00,91,Iñaki Williams,4,21884222,0.3863394495412844,0.3386831777237545,0.12346483333940303,2.904852223927117,-0.005168106958520161,-1.5525843230798884,1.1604433550345084,0.0,0,0.0,100.0,0,0.0,2.904852223927117,<20
2026-07-06 00:00:00+02:00,92,Vesga,3,3212361,0.38628125,0.33865174624920236,0.1234571749158459,10.996643623257782,-0.00516753876665792,-5.41231200353883,-16.04679548780476,0.0,0,0.0,100.0,0,0.0,10.996643623257782,<20
2026-07-06 00:00:00+02:00,121,Bartra,2,20077267,0.38633500000000004,0.33867914434039553,0.12346085352905944,3.3033387538459436,-0.005165045621000109,-1.3205482598801919,-2.7296344666831396,0.0,0,0.0,100.0,0,0.0,3.3033387538459436,<20
2026-07-06 00:00:00+02:00,140,Iván Villar,1,2509656,0.38624,0.33859923308413165,0.12343600517362029,5.347463268055959,-0.005179992795825403,-5.0512500517999275,-14.688427417940945,0.0,0,0.0,100.0,0,0.0,5.347463268055959,<20
2026-07-06 00:00:00+02:00,184,David Soria,1,19272465,-3.6376749999999998,-3.683420559405311,0.0,5.469461223564292,-3.309208240876297,-3.309208240876297,-3.309208240876297,0.0,0,0.0,100.0,0,0.0,5.469461223564292,<20
2026-07-06 00:00:00+02:00,204,Aitor Fdez,1,1003862,0.3862,0.33853919388290565,0.12337613763869842,9.32336356221628,-0.005179994859851254,-4.109130537862774,-14.170274400266173,0.0,0,0.0,100.0,0,0.0,9.32336356221628,<20
2026-07-06 00:00:00+02:00,230,Courtois,1,40154536,0.38634,0.33868163469056284,0.12346334390399645,2.586445719744856,-0.00516504536374172,5.079520779420785,23.164755284434115,0.0,0,0.0,100.0,0,0.0,2.586445719744856,<20
2026-07-06 00:00:00+02:00,255,Le Normand,2,13890060,-3.54125,-3.5870394609115848,-3.7938312787967923,2.999747061327789,-0.005169164136080046,-1.2731334493875475,-3.3321382341041006,0.0,0,0.0,100.0,0,0.0,2.999747061327789,<20
2026-07-06 00:00:00+02:00,265,Zubeldia,2,14054086,0.38632857142857147,0.33867486791451684,0.12346157473991853,3.44072594339172,-0.005165757488605093,-1.7055182386104655,-6.164235795910171,0.0,0,0.0,100.0,0,0.0,3.44072594339172,<20
2026-07-06 00:00:00+02:00,270,Guevara,3,3011588,0.38626666666666665,0.3386392592316181,0.12344262976353738,14.14308096747224,-0.005179991419809084,-4.82947866706867,-15.320986801647503,0.0,0,0.0,100.0,0,0.0,14.14308096747224,<20
2026-07-06 00:00:00+02:00,274,Remiro,1,20077267,0.38633500000000004,0.33867914434039553,0.12346085352905944,4.315428696167277,-0.005165045621000109,0.6680939193566535,14.061889001127495,0.0,0,0.0,100.0,0,0.0,4.315428696167277,<20
2026-07-06 00:00:00+02:00,302,Gayá,2,18069541,0.3863388888888889,0.3386835885556354,0.12346473223440746,3.5141951614342988,-0.0051689193433303035,-3.2687327254189795,-8.38392629895801,0.0,0,0.0,100.0,0,0.0,3.5141951614342988,<20
2026-07-06 00:00:00+02:00,356,Gerard,4,40154536,0.38634,0.33868163469056284,0.12346334390399645,1.8273783008111653,-0.00516504536374172,-1.2475327818505986,-4.203039477283463,0.0,0,0.0,100.0,0,0.0,1.8273783008111653,<20
2026-07-06 00:00:00+02:00,581,Rioja,3,25096585,0.38634,0.33868313905627384,0.12346384321037429,3.573233970646744,-0.005168033818146971,-1.983277804529979,-6.236175160883443,0.0,0,0.0,100.0,0,0.0,3.573233970646744,<20
2026-07-06 00:00:00+02:00,637,Moncayola,3,6023179,0.38631666666666664,0.3386725203315959,0.12345921174942052,15.117287345653995,-0.005179988839780455,1.3124298646943748,1.1073554347297332,0.0,0,0.0,100.0,0,0.0,15.117287345653995,<20
2026-07-06 00:00:00+02:00,644,Sergio Herrera,1,16061814,0.3863375,0.338682896791705,0.12346334698249745,6.070775209315743,-0.005167535871103974,1.9877829490492172,14.516529702062295,0.0,0,0.0,100.0,0,0.0,6.070775209315743,<20
2026-07-06 00:00:00+02:00,652,Rubén García,3,17366633,-3.5187055555555555,-3.5645070571760114,0.12346342375172223,4.241466955626921,-0.005165077191416436,1.0420269720676425,-2.0937622163144693,0.0,0,0.0,100.0,0,0.0,4.241466955626921,<20
2026-07-06 00:00:00+02:00,680,Moi Gómez,3,4823275,-3.5345,-3.5802800830165835,0.12345017819006719,13.198651119087481,-0.0051832002114745685,-3.2696456246015417,-13.323975929218218,0.0,0,0.0,100.0,0,0.0,13.198651119087481,<20
2026-07-06 00:00:00+02:00,701,Barrenetxea,3,32123629,0.386340625,0.33868288621288906,0.12346334313437124,2.328152689522571,-0.005167535710239961,0.9562057885801134,4.304208593618112,0.0,0,0.0,100.0,0,0.0,2.328152689522571,<20
2026-07-06 00:00:00+02:00,856,Guridi,3,5019315,0.38630000000000003,0.3386592046096513,0.12345590356196912,10.078835175713017,-3.3844658085814503,-3.3844658085814503,-3.3844658085814503,0.0,0,0.0,100.0,0,0.0,10.078835175713017,<20
2026-07-06 00:00:00+02:00,873,Torró,3,4216225,0.38630952380952377,0.33867254451101075,0.12346159819483422,14.805886875842786,-0.0051705020486335525,-0.569158429637887,-6.453213478882175,0.0,0,0.0,100.0,0,0.0,14.805886875842786,<20
2026-07-06 00:00:00+02:00,886,De Frutos,4,25096585,0.38634,0.33868313905627384,0.12346384321037429,3.674442959837903,-0.005168033818146971,1.9357972409393547,8.117965053811107,0.0,0,0.0,100.0,0,0.0,3.674442959837903,<20
2026-07-06 00:00:00+02:00,927,Berenguer,4,9335928,0.3863225806451613,0.338667108320704,0.12346081513308715,9.328019231653647,-0.005173561749833546,15.75433101026486,30.08421873005019,0.0,0,0.0,100.0,0,0.0,9.328019231653647,<20
2026-07-06 00:00:00+02:00,988,Sivera,1,14479228,-3.471813333333333,0.3386749432931523,0.12345991466647638,5.207884744242331,-0.005166021282350136,0.979706929126332,6.93735190854098,0.0,0,0.0,100.0,0,0.0,5.207884744242331,<20
2026-07-06 00:00:00+02:00,1029,Álvaro García,3,12046359,0.386325,0.3386724921222829,0.12345920148809314,7.085296527847598,-0.005171687146298728,1.558736544378264,6.3898228502072705,0.0,0,0.0,100.0,0,0.0,7.085296527847598,<20
2026-07-06 00:00:00+02:00,1031,Comesaña,3,36440242,0.38634159779614324,0.33868210587136544,0.1234637201988707,2.384423810643365,-0.005167364146483989,-1.9416034613601085,-4.1821291966173,0.0,0,0.0,100.0,0,0.0,2.384423810643365,<20
2026-07-06 00:00:00+02:00,1033,Catena,2,30115902,0.38634,0.3386824704492856,0.12346251172671112,2.9238091097700956,-0.005166705616189081,-0.9660676940707271,3.6610492357160678,0.0,0,0.0,100.0,0,0.0,2.9238091097700956,<20
2026-07-06 00:00:00+02:00,1070,De Galarreta,3,8231678,0.3863170731707317,0.33866844208372265,0.12345636966753626,11.081389787070428,-0.00517512954223914,19.1978597802295,43.26540712598331,0.0,0,0.0,100.0,0,0.0,11.081389787070428,<20
2026-07-06 00:00:00+02:00,1103,Óscar Valentín,3,6023179,0.38631666666666664,0.3386725203315959,0.12345921174942052,13.360186430450687,-0.005179988839780455,-1.5694370032834821,-10.660865300533157,0.0,0,0.0,100.0,0,0.0,13.360186430450687,<20
2026-07-06 00:00:00+02:00,1121,Balliu,2,1505793,0.3862,0.3385726241943824,0.12340942472989228,14.745338980636472,-0.005179994859851254,-4.749125543816447,-13.320556012679033,0.0,0,0.0,100.0,0,0.0,14.745338980636472,<20
2026-07-06 00:00:00+02:00,1147,Juan Iglesias,2,12532818,0.262544,0.21494590929092317,0.0,6.640459669827534,-3.8746034610891185,-3.8746034610891185,-3.8746034610891185,0.0,0,0.0,100.0,0,0.0,6.640459669827534,<20
2026-07-06 00:00:00+02:00,1191,Hugo Duro,4,12046359,0.386325,0.3386724921222829,0.12345920148809314,6.241888158563568,-0.005171687146298728,0.10311829491384077,0.4536640490292544,0.0,0,0.0,100.0,0,0.0,6.241888158563568,<20
2026-07-06 00:00:00+02:00,1197,Kubo,3,30216288,0.3863388704318937,0.33867966434680513,0.12346322088305826,2.0606452482520297,-0.005166087905966477,0.19736706242672827,5.920280479190561,0.0,0,0.0,100.0,0,0.0,2.0606452482520297,<20
2026-07-06 00:00:00+02:00,1210,Giuliano,4,33784868,-3.471805714285714,0.33868186977624637,0.12346485027341948,2.1301449710168083,-0.005165034239589156,1.0623395065506842,12.042589599580499,0.0,0,0.0,100.0,0,0.0,2.1301449710168083,<20
2026-07-06 00:00:00+02:00,1215,Turrientes,3,10038632,0.38632,0.3386691660130604,0.12345587893544288,6.257793430658665,-0.005170027151109832,6.319655905306619,3.073376930243085,0.0,0,0.0,100.0,0,0.0,6.257793430658665,<20
2026-07-06 00:00:00+02:00,1218,Álex Balde,2,19274176,0.3863333333333333,0.33867768740461235,0.12346231189165903,2.8992045828392783,-0.00516753608558934,-0.6430780750367746,5.881994644025249,0.0,0,0.0,100.0,0,0.0,2.8992045828392783,<20
2026-07-06 00:00:00+02:00,1219,Agirrezabala,1,2907612,0.26248275862068965,0.21489796052012547,0.0,20.19410145620013,-3.441140014554899,-3.441140014554899,-3.441140014554899,0.0,0,0.0,100.0,0,0.0,20.19410145620013,20-30
2026-07-06 00:00:00+02:00,1221,Gavi,3,25096585,0.38634,0.33868313905627384,0.12346384321037429,0.9418002516766129,-0.005168033818146971,1.134349553933334,2.4827640892177163,0.0,0,0.0,100.0,0,0.0,0.9418002516766129,<20
2026-07-06 00:00:00+02:00,1251,Carmona,2,6023179,0.38631666666666664,0.3386725203315959,0.12345921174942052,11.25166533220672,-0.005179988839780455,3.9462881644394097,5.343324513516865,0.0,0,0.0,100.0,0,0.0,11.25166533220672,<20
2026-07-06 00:00:00+02:00,1260,Diego López,4,6023179,0.38631666666666664,0.3386725203315959,0.12345921174942052,12.446493954544968,-0.005179988839780455,-0.9212742971776201,-6.419616617736248,0.0,0,0.0,100.0,0,0.0,12.446493954544968,<20
2026-07-06 00:00:00+02:00,1300,Camavinga,3,24092721,0.3863375,0.3386808073948544,0.12346334698249745,2.477503893941239,-0.005167535871103974,-4.051107386334653,-11.470082602957135,0.0,0,0.0,100.0,0,0.0,2.477503893941239,<20
2026-07-06 00:00:00+02:00,1337,Tenaglia,2,18069541,0.3863388888888889,0.3386835885556354,0.12346473223440746,4.404459428062138,-0.0051689193433303035,-1.8831358250881967,-4.11633034840232,0.0,0,0.0,100.0,0,0.0,4.404459428062138,<20
2026-07-06 00:00:00+02:00,1480,Tchouaméni,3,56417125,0.3863434163701068,0.338684326700766,0.1234640948757387,1.7095741638684805,-0.00516509836330724,-1.2652169000104134,-0.6613364293199981,0.0,0,0.0,100.0,0,0.0,1.7095741638684805,<20
2026-07-06 00:00:00+02:00,1484,Guruzeta,4,13150610,0.38633587786259543,0.3386788351364718,0.12346211024277176,6.402707094055714,-0.005170862796478643,2.4638857056820935,2.170142677792133,0.0,0,0.0,100.0,0,0.0,6.402707094055714,<20
2026-07-06 00:00:00+02:00,1529,Almeida,3,6424724,0.3863125,0.3386673109440689,0.12345713643649905,9.7776101796352,-0.005167537158016438,-3.2614163659014768,-13.55831005347467,0.0,0,0.0,100.0,0,0.0,9.7776101796352,<20
2026-07-06 00:00:00+02:00,1535,Chavarría,2,12046359,0.386325,0.3386724921222829,0.12345920148809314,6.874444435526591,-0.005171687146298728,3.740242176079926,8.926332014511605,0.0,0,0.0,100.0,0,0.0,6.874444435526591,<20
2026-07-06 00:00:00+02:00,1565,Barrios,3,40154536,0.38634,0.33868163469056284,0.12346334390399645,1.7008670643222166,-0.00516504536374172,0.06386576101887965,1.207350521993331,0.0,0,0.0,100.0,0,0.0,1.7008670643222166,<20
2026-07-06 00:00:00+02:00,1614,Cardona,2,5621633,0.3863035714285714,0.33866062524954665,0.1234616055244972,13.365166499389384,-0.00517643183039519,1.7702151670164166,4.024915891876969,0.0,0,0.0,100.0,0,0.0,13.365166499389384,<20
2026-07-06 00:00:00+02:00,1674,Arda Güler,3,75289758,0.386344,0.3386844627293298,0.12346383828475307,1.6671339241822605,-0.005165377208411269,-0.9415503766129784,-3.1721738300712827,0.0,0,0.0,100.0,0,0.0,1.6671339241822605,<20
2026-07-06 00:00:00+02:00,1694,Sow,3,10038632,0.38632,0.3386691660130604,0.12345587893544288,8.492825720582896,-0.005170027151109832,2.137781323192244,2.32846467526651,0.0,0,0.0,100.0,0,0.0,8.492825720582896,<20
2026-07-06 00:00:00+02:00,1715,Fermín,3,95367026,0.38634315789473683,0.33868439520037236,0.12346425979024525,1.296921725270555,-0.005165307346377772,-0.9694891817219926,-4.317546821686565,0.0,0,0.0,100.0,0,0.0,1.296921725270555,<20
