fecha,player_id,nickname,rentabilidad_7d,score_base,score
2026-07-06 00:00:00+02:00,1219,Agirrezabala,-3.441140014554899,20.19410145620013,20.19410145620013
2026-07-06 00:00:00+02:00,2005,Abel Bretones,-7.471095355550407,21.195906565852667,21.195906565852667
2026-07-06 00:00:00+02:00,2178,F. Garcés,-11.671258931340496,17.837840185428014,17.837840185428014
2026-07-06 00:00:00+02:00,2319,Maroan,-12.973778358393742,18.11877074565913,18.11877074565913
2026-07-06 00:00:00+02:00,2395,Hugo Sotelo,-14.033742040271106,22.376296743315137,22.376296743315137
2026-07-06 00:00:00+02:00,2397,Pablo Durán,-13.530602459566182,18.922397837287548,18.922397837287548
2026-07-06 00:00:00+02:00,2398,F. Calero,-3.250410066374329,19.40855250344921,19.40855250344921
2026-07-06 00:00:00+02:00,2449,Marcao,-14.969813451676307,17.83283167417604,17.83283167417604
2026-07-06 00:00:00+02:00,2465,Fran Pérez,-15.8113287427312,26.21177268110212,26.21177268110212
2026-07-06 00:00:00+02:00,2511,R. Terrats,-3.317435773037125,18.21147047295026,18.21147047295026
2026-07-06 00:00:00+02:00,2529,Rubén S.,-15.048119759816265,32.763683404230164,32.763683404230164
2026-07-06 00:00:00+02:00,2549,Navarro,-10.527725018625022,20.99993328145721,20.99993328145721
2026-07-06 00:00:00+02:00,2568,Youssef,-14.793436453692689,33.162144900121035,33.162144900121035
2026-07-06 00:00:00+02:00,2587,Josan,-2.9577359431492334,31.344304348038115,31.344304348038115
2026-07-06 00:00:00+02:00,2601,Martim Neto,-10.672143732808074,22.71773770449381,22.71773770449381
2026-07-06 00:00:00+02:00,2628,O. Rey,-16.42137244891606,18.410239436592377,18.410239436592377
2026-07-06 00:00:00+02:00,2653,Manuel Fernández,-11.707973887461067,32.385936553115386,32.385936553115386
2026-07-06 00:00:00+02:00,2717,R. Mendoza,-8.964512386496683,26.27193438031403,26.27193438031403
2026-07-06 00:00:00+02:00,2912,Julio Díaz,-11.35265326752384,21.778450227216272,21.778450227216272
2026-07-06 00:00:00+02:00,2938,Koski,-2.438584017462573,18.15399956424759,18.15399956424759
2026-07-07 00:00:00+02:00,1219,Agirrezabala,-3.441140014554899,20.155779062667698,20.155779062667698
2026-07-07 00:00:00+02:00,2005,Abel Bretones,-9.176247907431028,21.125505687456773,21.125505687456773
2026-07-07 00:00:00+02:00,2178,F. Garcés,-13.29534473655373,17.76726581587689,17.76726581587689
2026-07-07 00:00:00+02:00,2319,Maroan,-14.634427501013995,18.048120206459394,18.048120206459394
2026-07-07 00:00:00+02:00,2395,Hugo Sotelo,-15.67763423486589,22.305975504422783,22.305975504422783
2026-07-07 00:00:00+02:00,2397,Pablo Durán,-15.8035446259454,18.85192371272498,18.85192371272498
2026-07-07 00:00:00+02:00,2398,F. Calero,-3.250410066374329,19.37022457661009,19.37022457661009
2026-07-07 00:00:00+02:00,2449,Marcao,-17.16659527201363,17.762271040639856,17.762271040639856
2026-07-07 00:00:00+02:00,2465,Fran Pérez,-17.699306791471102,26.14163821503258,26.14163821503258
2026-07-07 00:00:00+02:00,2511,R. Terrats,-3.317435773037125,18.17314726005264,18.17314726005264
2026-07-07 00:00:00+02:00,2529,Rubén S.,-17.02946997436431,32.69281062782797,32.69281062782797
2026-07-07 00:00:00+02:00,2549,Navarro,-12.450310574006451,20.92956638152235,20.92956638152235
2026-07-07 00:00:00+02:00,2568,Youssef,-14.67731794896771,33.09129285330692,33.09129285330692
2026-07-07 00:00:00+02:00,2587,Josan,-2.9577359431492334,31.3059772228051,31.3059772228051
2026-07-07 00:00:00+02:00,2601,Martim Neto,-12.320816143283327,22.647460188395023,22.647460188395023
2026-07-07 00:00:00+02:00,2628,O. Rey,-18.88987014979421,18.33970083076865,18.33970083076865
2026-07-07 00:00:00+02:00,2653,Manuel Fernández,-13.116403557125874,32.31494120925561,32.31494120925561
2026-07-07 00:00:00+02:00,2717,R. Mendoza,-10.67021315454784,26.201796919040504,26.201796919040504
2026-07-07 00:00:00+02:00,2912,Julio Díaz,-12.700121035402857,18.77931596940372,18.77931596940372
2026-07-07 00:00:00+02:00,2938,Koski,-2.438584017462573,18.08849894193361,18.08849894193361
2026-07-08 00:00:00+02:00,927,Berenguer,20.33267684927621,22.526254641124133,22.526254641124133
2026-07-08 00:00:00+02:00,1070,De Galarreta,28.547602003274303,31.71729776109541,31.71729776109541
2026-07-08 00:00:00+02:00,1219,Agirrezabala,-3.441140014554899,20.12318512922849,20.12318512922849
2026-07-08 00:00:00+02:00,2294,R.P. Bigas,-1.6840868202719368,38.91482968395744,38.91482968395744
2026-07-08 00:00:00+02:00,2395,Hugo Sotelo,-15.380249799244956,19.51742198558094,19.51742198558094
2026-07-08 00:00:00+02:00,2400,Pere Milla,8.797016874715354,34.45808072589965,34.45808072589965
2026-07-08 00:00:00+02:00,2415,Llorente ,1.1788874463729049,34.72902663175953,34.72902663175953
2026-07-08 00:00:00+02:00,2465,Fran Pérez,-17.037988659639563,23.62934535732798,23.62934535732798
2026-07-08 00:00:00+02:00,2529,Rubén S.,-16.53728379090877,29.617994960525102,29.617994960525102
2026-07-08 00:00:00+02:00,2568,Youssef,-14.2141997374004,30.02795096996776,30.02795096996776
2026-07-08 00:00:00+02:00,2577,A. Rebbach,-15.018367180631012,19.97328923835682,19.97328923835682
2026-07-08 00:00:00+02:00,2587,Josan,-2.9577359431492334,31.27338803328762,31.27338803328762
2026-07-08 00:00:00+02:00,2603,Ferran Jutglà,-6.0121427581714055,35.804138143449286,35.804138143449286
2026-07-08 00:00:00+02:00,2604,Carreira,3.608188201976893,21.693796060407784,21.693796060407784
2026-07-08 00:00:00+02:00,2612,Ugrinic,-14.452544406440824,21.2359735972206,21.2359735972206
2026-07-08 00:00:00+02:00,2621,Gorrotxa,20.08811124660689,30.07431798440292,30.07431798440292
2026-07-08 00:00:00+02:00,2623,Dolan,-0.03869010968172,23.71028967359469,23.71028967359469
2026-07-08 00:00:00+02:00,2653,Manuel Fernández,-12.45490582213583,29.181548769941173,29.181548769941173
2026-07-08 00:00:00+02:00,2700,Etta Eyong,25.64519879097884,28.598689980775674,28.598689980775674
2026-07-08 00:00:00+02:00,2717,R. Mendoza,-10.99218205408534,23.302669303049854,23.302669303049854
