score_minimo,observaciones,rent_1d,rent_3d,rent_7d,acierto_1d,acierto_3d,acierto_7d
20,984,2.257447706585473,6.505054646347783,13.568190001738786,92.6829268292683,91.97154471544715,87.5
25,470,2.76209007898205,7.977907088796371,16.880501801979552,94.8936170212766,94.25531914893617,91.48936170212765
30,198,3.2415425689241606,9.206836030051278,19.365154234757743,93.43434343434343,92.42424242424242,88.88888888888889
35,82,4.047881658759291,11.449282061842553,24.051456258473856,98.78048780487805,97.5609756097561,92.6829268292683
40,31,4.413808132578682,12.49362041664114,27.042758462334177,100.0,96.7741935483871,90.32258064516128
45,13,4.882651721848338,13.313219339329944,29.40955491692984,100.0,100.0,92.3076923076923
50,8,4.7021783035811175,14.19559993281397,32.93457965334169,100.0,100.0,100.0
