fecha,player_id,nickname,positionId,precio,var_7d,var_3d,var_1d,score_base,penalizacion_adaptativa,memoria_apariciones,memoria_rent_7d,memoria_acierto_7d,memoria_fallos_consecutivos,memoria_deterioro,score,grupo_score,fecha_ejecucion
2026-08-15 00:00:00+02:00,2005,Abel Bretones,2,3771977,28.757729521780913,10.279213937132278,2.844799380528078,46.57783618411959,0.0,8,33.15067875708247,100.0,0,3.3458144081776986,46.57783618411959,40-50,2026-08-15 00:00:00+02:00
2026-08-15 00:00:00+02:00,2784,Marc Bernal,3,6902871,36.605521871342624,13.233528052273103,4.069364590607621,44.47905712339788,0.0,5,43.12992093719747,100.0,0,0.0,44.47905712339788,40-50,2026-08-15 00:00:00+02:00
2026-08-15 00:00:00+02:00,1121,Balliu,2,943072,15.23939982330493,8.492358947692958,3.6861287786750516,42.58227131170061,0.0,0,0.0,100.0,0,0.0,42.58227131170061,40-50,2026-08-15 00:00:00+02:00
2026-08-15 00:00:00+02:00,2714,Javi Rueda,2,4217993,14.734764500928787,7.63305386458933,2.2068774341718043,38.26935089906186,0.0,0,0.0,100.0,0,0.0,38.26935089906186,30-40,2026-08-15 00:00:00+02:00
2026-08-15 00:00:00+02:00,2520,Roberto,4,6994438,20.5561991289955,7.801494299624691,2.817045922267302,37.84154402519518,0.0,0,0.0,100.0,0,0.0,37.84154402519518,30-40,2026-08-15 00:00:00+02:00
2026-08-15 00:00:00+02:00,2005,Abel Bretones,2,3771977,28.757729521780913,10.279213937132278,2.844799380528078,46.57783618411959,0.0,8,33.15067875708247,100.0,0,3.3458144081776986,46.57783618411959,40-50,2026-08-15 00:00:00+02:00
2026-08-15 00:00:00+02:00,2784,Marc Bernal,3,6902871,36.605521871342624,13.233528052273103,4.069364590607621,44.47905712339788,0.0,5,43.12992093719747,100.0,0,0.0,44.47905712339788,40-50,2026-08-15 00:00:00+02:00
2026-08-15 00:00:00+02:00,1121,Balliu,2,943072,15.23939982330493,8.492358947692958,3.6861287786750516,42.58227131170061,0.0,0,0.0,100.0,0,0.0,42.58227131170061,40-50,2026-08-15 00:00:00+02:00
2026-08-15 00:00:00+02:00,2714,Javi Rueda,2,4217993,14.734764500928787,7.63305386458933,2.2068774341718043,38.26935089906186,0.0,0,0.0,100.0,0,0.0,38.26935089906186,30-40,2026-08-15 00:00:00+02:00
2026-08-15 00:00:00+02:00,2520,Roberto,4,6994438,20.5561991289955,7.801494299624691,2.817045922267302,37.84154402519518,0.0,0,0.0,100.0,0,0.0,37.84154402519518,30-40,2026-08-15 00:00:00+02:00
2026-08-16 00:00:00+02:00,2005,Abel Bretones,2,3864534,27.03499093718751,9.563013417062988,2.4538060544907885,45.039776427087965,0.0,8,29.06708568719158,100.0,0,10.681758738948886,45.039776427087965,40-50,2026-08-16 00:00:00+02:00
2026-08-16 00:00:00+02:00,1121,Balliu,2,968786,17.5618428157973,9.452998251076696,2.7266210851345387,43.573981492864895,0.0,1,2.7266210851345387,100.0,0,0.0,43.573981492864895,40-50,2026-08-16 00:00:00+02:00
2026-08-16 00:00:00+02:00,2784,Marc Bernal,3,7147163,34.514044982413076,12.471121609085609,3.5389912400217245,42.6971536677692,0.0,6,36.53143265433484,100.0,0,20.025861085216214,42.6971536677692,40-50,2026-08-16 00:00:00+02:00
2026-08-16 00:00:00+02:00,2714,Javi Rueda,2,4295574,15.689305703757528,7.106348251332915,1.839287073259723,39.26936537839383,0.0,1,1.839287073259723,100.0,0,0.0,39.26936537839383,30-40,2026-08-16 00:00:00+02:00
2026-08-16 00:00:00+02:00,2548,Riquelme,3,4089871,19.712919948753058,9.099389477632187,2.3104120763114655,36.1487580679473,0.0,1,2.3104120763114655,100.0,0,0.0,36.1487580679473,30-40,2026-08-16 00:00:00+02:00
2026-08-16 00:00:00+02:00,2005,Abel Bretones,2,3864534,27.03499093718751,9.563013417062988,2.4538060544907885,45.039776427087965,0.0,8,29.06708568719158,100.0,0,10.681758738948886,45.039776427087965,40-50,2026-08-16 00:00:00+02:00
2026-08-16 00:00:00+02:00,1121,Balliu,2,968786,17.5618428157973,9.452998251076696,2.7266210851345387,43.573981492864895,0.0,1,2.7266210851345387,100.0,0,0.0,43.573981492864895,40-50,2026-08-16 00:00:00+02:00
2026-08-16 00:00:00+02:00,2784,Marc Bernal,3,7147163,34.514044982413076,12.471121609085609,3.5389912400217245,42.6971536677692,0.0,6,36.53143265433484,100.0,0,20.025861085216214,42.6971536677692,40-50,2026-08-16 00:00:00+02:00
2026-08-16 00:00:00+02:00,2714,Javi Rueda,2,4295574,15.689305703757528,7.106348251332915,1.839287073259723,39.26936537839383,0.0,1,1.839287073259723,100.0,0,0.0,39.26936537839383,30-40,2026-08-16 00:00:00+02:00
2026-08-16 00:00:00+02:00,2548,Riquelme,3,4089871,19.712919948753058,9.099389477632187,2.3104120763114655,36.1487580679473,0.0,1,2.310412076311465,100.0,0,0.0,36.1487580679473,30-40,2026-08-16 00:00:00+02:00
