top,v2_capital_final,v3_capital_final,v2_rentabilidad,v3_rentabilidad,diferencia
5,313.82646774219137,312.18854820285947,213.82646774219137,212.18854820285947,-1.6379195393319037
10,268.28373596549045,267.36989243898444,168.28373596549045,167.36989243898444,-0.9138435265060139
20,223.58583309899433,228.80596326695684,123.58583309899433,128.80596326695684,5.220130167962509
