player_id,nickname,apariciones,rentabilidad_7d_media,acierto_7d,fallos_consecutivos,penalizacion_media,ultima_penalizacion
2465,Fran Pérez,4,-16.81880740217244,0.0,4,0.0,0.0
2529,Rubén S.,4,-16.074424390687362,0.0,4,0.0,0.0
2395,Hugo Sotelo,4,-14.981717961356132,0.0,4,0.0,0.0
2568,Youssef,4,-14.335828155851697,0.0,4,0.0,0.0
2601,Martim Neto,4,-12.512030718534673,0.0,4,0.0,0.0
2653,Manuel Fernández,4,-12.13235128877174,0.0,4,0.0,0.0
2717,R. Mendoza,4,-10.639441439526518,0.0,4,0.0,0.0
2549,Navarro,4,-8.198412186309909,0.0,4,0.0,0.0
2912,Julio Díaz,4,-5.910369170864862,25.0,0,0.0,0.0
2294,R.P. Bigas,4,-5.763101761463249,0.0,4,0.0,0.0
2623,Dolan,4,-4.44398448916564,0.0,4,0.0,0.0
1219,Agirrezabala,4,-3.441140014554899,0.0,4,0.0,0.0
2398,F. Calero,4,-3.250410066374329,0.0,4,0.0,0.0
2587,Josan,4,-2.9577359431492334,0.0,4,0.0,0.0
2415,Llorente ,4,-2.2792650741224163,25.0,3,0.0,0.0
2604,Carreira,4,-2.0759014530960367,25.0,3,0.0,0.0
