score_minimo,observaciones,rent_1d,rent_3d,rent_7d,acierto_1d,acierto_3d,acierto_7d
20,975,2.1919588987309693,6.333121813703263,13.33678427628312,90.87179487179488,89.94871794871796,85.94871794871794
25,467,2.69824525542464,7.816982853576153,16.658766696841234,93.57601713062098,92.71948608137045,89.93576017130621
30,195,3.204715928266606,9.14063669656489,19.4512442205721,92.82051282051282,91.7948717948718,88.2051282051282
35,81,4.024499497289952,11.36836683637073,24.03812542072333,98.76543209876543,97.53086419753086,92.5925925925926
40,30,4.362873845738781,12.30996058636051,27.10647527386975,100.0,96.66666666666667,90.0
45,12,4.899061895856361,13.314774104361208,29.66189712721363,100.0,100.0,91.66666666666666
50,8,4.762147293346359,14.31472343370195,33.866475876515516,100.0,100.0,100.0
