top,dias,base,v3,diferencia
5,1,2.6686827690429142,3.317304878560688,0.6486221095177735
5,3,8.119381040296082,9.503728304252716,1.3843472639566343
5,7,17.5298787820731,20.35681319836211,2.82693441628901
10,1,2.1990391845673396,2.8579145456417767,0.6588753610744371
10,3,6.783535408358752,8.157908174502799,1.374372766144047
10,7,14.831855799061543,17.509387818298016,2.677532019236473
20,1,1.6549362687197657,2.3999460939224933,0.7450098252027275
20,3,5.059136021829245,6.916058273751392,1.856922251922147
20,7,10.964120212425097,14.584672871324319,3.6205526588992214
